"","Weight","SourceName","TargetName","Type.x","Year.x","diceSim","Type.y","Year.y","SourceID","TargetID"
"1",1,"'En Haseva","Edom","Terrestial",-600,0,"Terrestial",-600,28,2446
"2",1,"'En Haseva","Ezion-geber","Terrestial",-600,0,"Terrestial",-600,28,2447
"3",1,"'En Haseva","Horvat 'Uza","Terrestial",-600,0,"Terrestial",-600,28,486
"4",1,"'En Haseva","Kadesh Barnea","Terrestial",-600,0,"Terrestial",-600,28,2448
"5",1," loc12-tmc060201","Maozhou","Road",1368,0,"Road",1368,29,1900
"6",1," loc13-tmc060201"," loc14-tmc060201","Road",1368,0,"Road",1368,30,31
"7",1," loc14-tmc060201","Songpan","Road",1368,0,"Road",1368,31,2196
"8",1,"</font size>""loc01-tmc001214""","Cambay","Road",1550,0,"Road",1550,32,184
"9",1,"<font size=""-1"">""xrd01-tmc001214""","Ajmer","Road",1550,0,"Road",1550,33,46
"10",1,"Abdanganch","Rabat Serob","Terrestial",900,0,"Terrestial",900,34,2067
"11",1,"Abiverd","loc23-tmc070101","Terrestial",900,0,"Terrestial",900,35,1311
"12",1,"Abiverd","Meane","Terrestial",900,0,"Terrestial",900,35,1910
"13",1,"Adana","Antakya","Terrestial",1300,0,"Terrestial",1300,36,79
"14",1,"Adana","frk08-tmc050521","Terrestial",1200,0,"Terrestial",1200,36,386
"15",1,"Adana","loc13-tmc050503","Terrestial",1300,0,"Terrestial",1300,36,1091
"16",1,"Aden","Cochin","Sea lane",1300,0,"Sea lane",1300,37,2449
"17",1,"Aden","sealoc06-tmc050418","Sea lane",1300,0,"Sea lane",1300,37,2115
"18",1,"Adiyaman","frk13-tmc050521","Terrestial",1200,0,"Terrestial",1200,38,393
"19",1,"Adulis","Berenice","Sea lane",-50,0,"Sea lane",-50,39,149
"20",1,"Adulis","Muza","Sea lane",-50,0,"Sea lane",-50,39,1938
"21",1,"Aelana","Berenice","Sea lane",-50,0,"Sea lane",-50,40,149
"22",1,"Aelana","Petra","Terrestial",-50,0,"Terrestial",-50,40,2006
"23",1,"Agra","Ahmadabad","Road",1550,0,"Road",1550,41,42
"24",1,"Agra","Allahabad","Road",1550,0,"Road",1550,41,59
"25",1,"Agra","Bayana","Road",1550,0.166666666666667,"Road",1550,41,140
"26",1,"Agra","Delhi","Road",1550,0,"Road",1550,41,270
"27",1,"Agra","Dholpur","Road",1550,0,"Road",1550,41,276
"28",1,"Agra","Mathura","Road",1550,0,"Road",1550,41,1907
"29",1,"Agra","Sikri","Road",1550,0.2,"Road",1550,41,2450
"30",1,"Ahmadabad","Cambay","Road",1550,0.2,"Road",1550,42,184
"31",1,"Ahmadabad","Mehsana","Road",1550,0,"Road",1550,42,2451
"32",1,"Ahmadabad","Surat","Road",1550,0.181818181818182,"Road",1550,42,2208
"33",1,"Ahmadabad","Tatta","Road",1550,0,"Road",1550,42,2452
"34",1,"Ahmadabad","Udaipur","Road",1550,0,"Road",1550,42,2453
"35",1,"Ahmadnagar","Bijapur","Road",1550,0,"Road",1550,43,2454
"36",1,"Ahmadnagar","Burhanpur","Road",1550,0,"Road",1550,43,176
"37",1,"Ahmadnagar","Haidarabad","Road",1550,0,"Road",1550,43,2455
"38",1,"Aini","loc03-tmc040918","Terrestial",400,0,"Terrestial",400,44,803
"39",1,"Aini","Pendjikent","Terrestial",400,0,"Terrestial",400,44,2001
"40",1,"Airtam","Al-Ahsa","Terrestial",900,0,"Terrestial",900,45,52
"41",1,"Ajmer","Burhanpur","Road",1550,0,"Road",1550,46,176
"42",1,"Ajmer","Jaipur","Road",1550,0,"Road",1550,46,2456
"43",1,"Ajmer","Mandu","Road",1550,0,"Road",1550,46,1896
"44",1,"Akir","Amul","Terrestial",900,0,"Terrestial",900,47,67
"45",1,"Akkerman","Kilia","Terrestial",1300,0,"Terrestial",1300,48,626
"46",1,"Akkerman","loc11-tmc050503","Terrestial",1300,0,"Terrestial",1300,48,1040
"47",1,"Aksaray","Konya","Terrestial",1200,0,"Terrestial",1200,49,642
"48",1,"Aksaray","Nevsehir","Terrestial",1200,0,"Terrestial",1200,49,1958
"49",1,"Aksehir","Konya","Terrestial",1300,0,"Terrestial",1300,50,642
"50",1,"Aksu","Bachn","Terrestial",100,0,"Terrestial",100,51,2457
"51",1,"Aksu","Kashgar","Terrestial",700,0.0512820512820513,"Terrestial",700,51,9
"52",1,"Aksu","Kucha","Terrestial",1,0.0952380952380952,"Terrestial",1,51,646
"53",1,"Aksu","Kucha","Terrestial",1,0.0952380952380952,"Terrestial",700,51,646
"54",1,"Aksu","Kucha","Terrestial",1,0.0952380952380952,"Terrestial",1300,51,646
"55",1,"Aksu","Kucha","Terrestial",700,0.0952380952380952,"Terrestial",1,51,646
"56",1,"Aksu","Kucha","Terrestial",700,0.0952380952380952,"Terrestial",700,51,646
"57",1,"Aksu","Kucha","Terrestial",700,0.0952380952380952,"Terrestial",1300,51,646
"58",1,"Aksu","Kucha","Terrestial",1300,0.0952380952380952,"Terrestial",1,51,646
"59",1,"Aksu","Kucha","Terrestial",1300,0.0952380952380952,"Terrestial",700,51,646
"60",1,"Aksu","Kucha","Terrestial",1300,0.0952380952380952,"Terrestial",1300,51,646
"61",1,"Aksu","loc09-tmc010512","Terrestial",700,0,"Terrestial",700,51,2458
"62",1,"Al-Ahsa","Osman Well","Terrestial",900,0,"Terrestial",900,52,1981
"63",1,"Alai Pass","Osh","Road",1901,0.142857142857143,"Road",1901,53,1980
"64",1,"Aleppo","Antakya","Terrestial",1300,0,"Terrestial",1300,54,79
"65",1,"Aleppo","Birecik","Terrestial",1300,0,"Terrestial",1300,54,157
"66",1,"Aleppo","Damascus","Terrestial",1300,0.1,"Terrestial",1300,54,247
"67",1,"Aleppo","loc15-tmc050503","Terrestial",1300,0.2,"Terrestial",1300,54,1137
"68",1,"Aleppo","Tripoli","Terrestial",1300,0.2,"Terrestial",1300,54,2270
"69",1,"Alexandria Areion","Antiochia Margiana","Terrestial",-50,0,"Terrestial",-50,56,83
"70",1,"Alexandria Areion","Phra","Terrestial",-50,0,"Terrestial",-50,56,2461
"71",1,"Alexandria Margiana","Bactra","Terrestial",-350,0,"Terrestial",-350,57,110
"72",1,"Alexandria Margiana","Hecatompylos","Terrestial",-350,0,"Terrestial",-350,57,2462
"73",1,"Alexandria","Coptus","River lane",-50,0,"River lane",-50,55,2459
"74",1,"Alexandria","Memphis","River lane",-350,0,"River lane",-350,55,2460
"75",1,"Alexandria","sealoc01-tmc050418","Sea lane",1300,0,"Sea lane",1300,55,2105
"76",1,"Alexandropolis","frk01-tmc010201","Terrestial",-50,0.285714285714286,"Terrestial",-50,58,330
"77",1,"Alexandropolis","Kabul","Terrestial",-50,0,"Terrestial",-50,58,585
"78",1,"Alexandropolis","Phra","Terrestial",-50,0,"Terrestial",-50,58,2461
"79",1,"Alexandropolis","xrd01-tmc010201","Terrestial",-50,0.25,"Terrestial",-50,58,2355
"80",1,"Allahabad","Patna","Road",1550,0,"Road",1550,59,1996
"81",1,"Alma-Ata","loc32-tmc050518","Terrestial",1200,0,"Terrestial",1200,60,1480
"82",1,"Alma-Ata","Yining","Terrestial",1,0,"Terrestial",1,60,2390
"83",1,"Alwar","Bayana","Road",1550,0.333333333333333,"Road",1550,61,140
"84",1,"Alwar","Jaipur","Road",1550,0.4,"Road",1550,61,2456
"85",1,"Amasra","sealoc17-tmc050503","Sea lane",1300,0,"Sea lane",1300,62,2137
"86",1,"Amasya","loc21-tmc050521","Terrestial",1200,0,"Terrestial",1200,63,1268
"87",1,"Amasya","Tokat","Terrestial",1300,0,"Terrestial",1300,63,2249
"88",1,"Ambala","Shahabad","Road",1550,0,"Road",1550,64,2463
"89",1,"Ambala","Sirhind","Road",1550,0,"Road",1550,64,2464
"90",1,"Amdo","Tanggula Shankou (2)","Terrestial",1900,0,"Terrestial",1900,65,2221
"91",1,"Amman","Petra","Terrestial",1300,0,"Terrestial",1300,66,2006
"92",1,"Amul","Viza","Terrestial",900,0,"Terrestial",900,67,2305
"93",1,"An Najaf","Medina","Terrestial",1300,0,"Terrestial",1300,68,2465
"94",1,"Ancona","Dubrovnik","Sea lane",1300,0,"Sea lane",1300,69,291
"95",1,"Andigon","Faizabad","Terrestial",400,0,"Terrestial",400,70,313
"96",1,"Anding","Gongchang","Road",1368,0,"Road",1368,71,2466
"97",1,"Anding","Lanzhou","Road",1368,0,"Road",1368,71,683
"98",1,"Angkor Borei","Oc Eo","Canal",1200,0,"Canal",1200,73,1976
"99",1,"Angkor","Beng Mealea","Road",1200,0,"Road",1200,72,2467
"100",1,"Angkor","loc03-tmc020719","Road",1200,0,"Road",1200,72,2468
"101",1,"Angkor","loc04-tmc020719","Road",1200,0,"Road",1200,72,2469
"102",1,"Angkor","loc05-tmc020719","Road",1200,0,"Road",1200,72,2470
"103",1,"Ankara","frk04-tmc050521","Terrestial",1200,0.166666666666667,"Terrestial",1200,74,368
"104",1,"Ankara","Konya","Terrestial",1300,0.117647058823529,"Terrestial",1300,74,642
"105",1,"Ankara","loc42-tmc050518","Terrestial",1200,0,"Terrestial",1200,74,1636
"106",1,"Ankara","Sivas","Terrestial",1300,0.117647058823529,"Terrestial",1300,74,2192
"107",1,"Ankara","Tokat","Terrestial",1300,0.142857142857143,"Terrestial",1300,74,2249
"108",1,"Anking","Nanchang","Road",1644,0,"Road",1644,75,1944
"109",1,"Annan","Pu'an (2)","Road",1368,0,"Road",1368,76,2030
"110",1,"Anshun","Zhenning","Road",1368,0,"Road",1368,77,2429
"111",1,"Ansi","Kiakukuan","Road",1644,0,"Road",1644,78,624
"112",1,"Ansi","Pehtuntz","Road",1923,0,"Road",1923,78,2471
"113",1,"Ansi","Pulungki","Road",1923,0,"Road",1923,78,2472
"114",1,"Ansi","Tunhwang","Road",1923,0,"Road",1923,78,2473
"115",1,"Antakya","Hama","Terrestial",1300,0,"Terrestial",1300,79,463
"116",1,"Antalya","Burdur","Terrestial",1200,0,"Terrestial",1200,80,175
"117",1,"Antalya","sealoc21-tmc050503","Sea lane",1300,0,"Sea lane",1300,80,2143
"118",1,"Anting","Lanchow","Road",1923,0,"Road",1923,81,678
"119",1,"Antioch","frk05-tmc010201","Terrestial",-50,0.222222222222222,"Terrestial",-50,82,372
"120",1,"Antioch","frk05-tmc010201","Terrestial",-50,0.222222222222222,"Terrestial",1,82,372
"121",1,"Antioch","frk05-tmc010201","Terrestial",1,0.222222222222222,"Terrestial",-50,82,372
"122",1,"Antioch","frk05-tmc010201","Terrestial",1,0.222222222222222,"Terrestial",1,82,372
"123",1,"Antioch","Laodicea","Terrestial",-350,0,"Terrestial",-350,82,684
"124",1,"Antioch","Palmyra","Terrestial",130,0,"Terrestial",130,82,1988
"125",1,"Antioch","Seleucia Pieria","Terrestial",-350,0,"Terrestial",-350,82,2474
"126",1,"Antioch","Tarsus","Terrestial",-350,0,"Terrestial",-350,82,2228
"127",1,"Antioch","Zeugma","Terrestial",-350,0.181818181818182,"Terrestial",-350,82,2418
