"","ID","nName","nodeDegree","nodeBetweenness"
"Pu-erh",0,"Pu-erh",2,0
"Dali",1,"Dali",6,4.87788341758458
"Lijiang",2,"Lijiang",5,1.86776230673262
"Agadez",3,"Agadez",3,0.0633272641075745
"Asiut",4,"Asiut",4,1.78466160527646
"Aujila",5,"Aujila",5,4.44712881196702
"Beirut",6,"Beirut",4,10.6819103618681
"Bilma",7,"Bilma",6,2.74650431542204
"Bochnia",8,"Bochnia",5,0
"Brzesc",9,"Brzesc",6,0
"Cairo",10,"Cairo",6,15.159958324795
"Deqin",11,"Deqin",4,4.54334647424876
"Dunhuang",12,"Dunhuang",13,6.94135427451099
"frk01-tmc050223",13,"frk01-tmc050223",3,0.714979620075614
"frk03-tmc070101",14,"frk03-tmc070101",3,0.000515386949981406
"frk04-tmc070101",15,"frk04-tmc070101",4,3.37744682676618
"Ghadames",16,"Ghadames",4,0.764500321100588
"Gongbujiangda",17,"Gongbujiangda",3,31.8789476553414
"Gwandu",18,"Gwandu",2,1.75500144925359
"Innsbruck",19,"Innsbruck",9,4.70161406302395
"Kashgar",20,"Kashgar",34,80.0359386475489
"Katsina",21,"Katsina",4,0
"Kebbi",22,"Kebbi",3,1.79886015279989
"Kharja",23,"Kharja",2,0.0038327367547913
"Kokand",24,"Kokand",10,7.12731340428427
"Kufra",25,"Kufra",3,4.05786648530853
"Leipzig",26,"Leipzig",8,3.26187587155209
"Lhasa",27,"Lhasa",17,100
"Limoges",28,"Limoges",6,1.6351249853278
"loc01-tmc060512",29,"loc01-tmc060512",1,0
"loc08-tmc030512",30,"loc08-tmc030512",2,4.35538267589921e-05
"loc08-tmc050223",31,"loc08-tmc050223",2,0.413151600635799
"loc11-tmc050223",32,"loc11-tmc050223",2,0.758838323621918
"loc12-tmc050223",33,"loc12-tmc050223",2,0.802697027168224
"loc16-tmc050518",34,"loc16-tmc050518",2,0.406560454852938
"loc211-tmc060409",35,"loc211-tmc060409",3,1.29855734481935
"loc243-tmc060409",36,"loc243-tmc060409",2,0.571876263287819
"loc35-tmc050223",37,"loc35-tmc050223",2,0
"loc36-tmc050223",38,"loc36-tmc050223",3,0.190635099724108
"loc46-tmc051117",39,"loc46-tmc051117",2,1.23668821656569
"loc479-tmc060409",40,"loc479-tmc060409",2,0.422007545410127
"loc63-tmc051117",41,"loc63-tmc051117",2,0
"Luding",42,"Luding",4,0.656486830738287
"Mangkang",43,"Mangkang",3,17.9059436237815
"Murzuk",44,"Murzuk",9,4.29077057390224
"Paris",45,"Paris",12,8.05752163525509
"Pu'er",46,"Pu'er",2,0
"qrd01-tmc050223",47,"qrd01-tmc050223",4,0
"qrd02-tmc050223",48,"qrd02-tmc050223",5,1.7499927591763
"Sakya",49,"Sakya",2,0
"sealoc12-tmc050503",50,"sealoc12-tmc050503",5,1.41868240965174
"sealoc15-tmc050503",51,"sealoc15-tmc050503",3,2.7996393872515
"Selima",52,"Selima",2,0.130574372623458
"Sijilmasa",53,"Sijilmasa",7,0.319859303718038
"Simao",54,"Simao",8,2.19339975146735
"Siwa",55,"Siwa",2,4.40327010842072
"Sokoto",56,"Sokoto",3,1.71114274570728
"Susa",57,"Susa",3,0.127438497096811
"Tashitow",58,"Tashitow",6,7.41431456039999
"xrd03-tmc050615",59,"xrd03-tmc050615",4,0.080291479630202
"Ya'an",60,"Ya'an",4,0.625621685508415
"Yarkand",61,"Yarkand",10,14.4534762637192
"Yungchang",62,"Yungchang",3,0
"Zhongdian",63,"Zhongdian",7,2.30316991284226
"'En Haseva",64,"'En Haseva",4,0
" loc12-tmc060201",65," loc12-tmc060201",2,0.684927479611909
" loc13-tmc060201",66," loc13-tmc060201",2,0.772644886704519
" loc14-tmc060201",67," loc14-tmc060201",2,0.816503590250824
"</font size>""loc01-tmc001214""",68,"</font size>""loc01-tmc001214""",1,0
"<font size=""-1"">""xrd01-tmc001214""",69,"<font size=""-1"">""xrd01-tmc001214""",1,0
"Aachen",70,"Aachen",2,0.583229294129663
"Abbeche",71,"Abbeche",3,4.49553889040964
"Abdanganch",72,"Abdanganch",2,1.66057675284009
"Abiverd",73,"Abiverd",3,1.44701056332737
"Acebo",74,"Acebo",2,0
"Acquapendente",75,"Acquapendente",2,0.341178901916564
"Adana",76,"Adana",7,4.89774759207225
"Aden",77,"Aden",4,1.38949773509212
"Adiyaman",78,"Adiyaman",2,3.34506455657087
"Adulis",79,"Adulis",2,0
"Aelana",80,"Aelana",5,0
"Agadir",81,"Agadir",1,0
"Agra",82,"Agra",8,0.12791758919116
"Ahmadabad",83,"Ahmadabad",6,0.00130661480276976
"Ahmadnagar",84,"Ahmadnagar",4,0.000783968881661857
"Aidhab",85,"Aidhab",2,0.231350668772639
"Aini",86,"Aini",3,0.593094235890574
"Airtam",87,"Airtam",2,1.09097980648599
"Ajmer",88,"Ajmer",5,0.00252612195202154
"Akir",89,"Akir",2,1.22255591712491
"Akkerman",90,"Akkerman",3,5.49608643460171
"Aksaray",91,"Aksaray",3,0.45069499930205
"Aksehir",92,"Aksehir",3,0.157795514347828
"Aksu",93,"Aksu",11,4.23985397272964
"Aksum",94,"Aksum",2,0.0843637624321676
"Al-Ahsa",95,"Al-Ahsa",2,1.1348385100323
"Alai Pass",96,"Alai Pass",2,0
"Alba Iulia",97,"Alba Iulia",2,0.596905195731986
"Aleppo",98,"Aleppo",8,50.5584427076218
"Alessandria",99,"Alessandria",4,2.38063633920792
"Alexandria",100,"Alexandria",14,15.8564628602627
"Alexandria Areion",101,"Alexandria Areion",2,0
"Alexandria Margiana",102,"Alexandria Margiana",2,0
"Alexandropolis",103,"Alexandropolis",4,0
"Alicante",104,"Alicante",2,0.695162628900272
"Allahabad",105,"Allahabad",2,0.000174215307035968
"Alma-Ata",106,"Alma-Ata",4,2.66099705763829
"Alwar",107,"Alwar",2,0
"Amasra",108,"Amasra",2,0.0834491320702288
"Amasya",109,"Amasya",4,1.65172806703689
"Ambala",110,"Ambala",2,0
"Amberg",111,"Amberg",2,0.489849889558384
"Amdo",112,"Amdo",2,1.70561140970889
"Amiens",113,"Amiens",3,4.31360565116763
"Amman",114,"Amman",2,0
"Amul",115,"Amul",2,1.26641462067121
"An Najaf",116,"An Najaf",2,0.0647645403906213
"Ancona",117,"Ancona",6,3.5623369300042
"Andernach",118,"Andernach",2,0.891764602890362
"Andigon",119,"Andigon",2,0.306923817170617
"Anding",120,"Anding",3,1.35574351935391
"Angermunde",121,"Angermunde",2,1.12391883976671
"Angkor",122,"Angkor",5,0.000174215307035968
"Angkor Borei",123,"Angkor Borei",1,0
"Ankara",124,"Ankara",9,28.743936503788
"Anking",125,"Anking",4,4.18822308879819
"Annan",126,"Annan",2,0.369989758317638
"Anshun",127,"Anshun",2,0.6369311625235
"Ansi",128,"Ansi",6,2.60234114884978
"Antakya",129,"Antakya",5,5.58103352424889
"Antalya",130,"Antalya",5,4.84895877082843
"Anting",131,"Anting",2,7.35854969241199
"Antioch",132,"Antioch",7,55.6253437932787
"Antiochia",133,"Antiochia",5,10.0110194160375
"Antiochia Margiana",134,"Antiochia Margiana",4,0.127612712403847
"Antwerp",135,"Antwerp",4,0.75114381422783
"Anxi",136,"Anxi",5,0.592288490095533
"Anyang",137,"Anyang",2,0.928044940580603
"Anzob",138,"Anzob",2,0.130247718922766
"Anzob Pass",139,"Anzob Pass",2,0.257468446885782
"Apollonia",140,"Apollonia",3,0.838701523955658
"Apollonis",141,"Apollonis",2,0
"Aquileia",142,"Aquileia",3,0.0835362397237468
"Arabia Eudaemon",143,"Arabia Eudaemon",5,0.16809599437633
"Arad",144,"Arad",3,0.340590925255318
